2024-05-05 16:20:44,818,Step: 75, Action: 1, Reward: 11.1, Observation: [6 9 7 8 1], Done: False
2024-05-05 16:20:44,827,Step: 80, Action: 4, Reward: 10.3, Observation: [7 7 8 9 4], Done: False
2024-05-05 16:20:44,837,Step: 85, Action: 3, Reward: 8.5, Observation: [ 7  8  9 10  3], Done: False
2024-05-05 16:20:44,846,Step: 90, Action: 0, Reward: 8.3, Observation: [ 7  9  8 12  0], Done: False
2024-05-05 16:20:44,855,Step: 95, Action: 4, Reward: 9.200000000000001, Observation: [ 8 11  9 13  4], Done: False
2024-05-05 16:20:44,865,Step: 100, Action: 3, Reward: 7.800000000000001, Observation: [ 6 12 10 14  3], Done: False
2024-05-05 16:20:44,875,Step: 105, Action: 4, Reward: 7.400000000000001, Observation: [ 4 14 13 16  4], Done: False
2024-05-05 16:20:44,885,Step: 110, Action: 3, Reward: 6.200000000000002, Observation: [ 2 16 16 19  3], Done: False
2024-05-05 16:20:44,894,Step: 115, Action: 0, Reward: 5.2, Observation: [ 2 18 14 19  0], Done: False
2024-05-05 16:20:44,905,Step: 120, Action: 4, Reward: 6.9, Observation: [ 4 18 15 21  4], Done: False
2024-05-05 16:20:44,914,Step: 125, Action: 1, Reward: 5.1000000000000005, Observation: [ 5 18 17 23  1], Done: False
2024-05-05 16:20:44,924,Step: 130, Action: 2, Reward: 7.100000000000001, Observation: [ 7 17 18 21  2], Done: False
2024-05-05 16:20:44,935,Step: 135, Action: 0, Reward: 9.100000000000001, Observation: [ 8 18 16 17  0], Done: False
2024-05-05 16:20:44,946,Step: 140, Action: 4, Reward: 8.8, Observation: [ 9 21 13 19  4], Done: False
2024-05-05 16:20:44,955,Step: 145, Action: 0, Reward: 4.6, Observation: [11 22 11 21  0], Done: False
2024-05-05 16:20:44,966,Step: 150, Action: 1, Reward: 5.8, Observation: [13 22  8 22  1], Done: False
2024-05-05 16:20:44,976,Step: 155, Action: 1, Reward: 6.9, Observation: [15 18 10 23  1], Done: False
2024-05-05 16:20:44,986,Step: 160, Action: 4, Reward: 5.800000000000001, Observation: [18 16 13 23  4], Done: False
2024-05-05 16:20:44,996,Step: 165, Action: 1, Reward: 3.500000000000001, Observation: [19 14 15 26  1], Done: False
2024-05-05 16:20:45,017,Step: 170, Action: 2, Reward: 3.700000000000001, Observation: [21 14 17 26  2], Done: False
2024-05-05 16:20:45,028,Step: 175, Action: 0, Reward: 5.9, Observation: [23 17 15 22  0], Done: False
2024-05-05 16:20:45,039,Step: 180, Action: 2, Reward: 6.500000000000001, Observation: [24 18 16 20  2], Done: False
2024-05-05 16:20:45,050,Step: 185, Action: 4, Reward: 6.2, Observation: [26 19 16 16  4], Done: False
2024-05-05 16:20:45,060,Step: 190, Action: 4, Reward: 0.0, Observation: [29 21 17 15  4], Done: False
2024-05-05 16:20:45,072,Step: 195, Action: 0, Reward: -2.8000000000000007, Observation: [31 24 15 17  0], Done: False
2024-05-05 16:20:45,083,Step: 200, Action: 0, Reward: -1.3000000000000007, Observation: [33 25 13 19  0], Done: False
2024-05-05 16:20:45,094,Step: 205, Action: 3, Reward: -1.1999999999999993, Observation: [34 26 12 22  3], Done: False
2024-05-05 16:20:45,105,Step: 210, Action: 1, Reward: 2.5, Observation: [32 24 13 23  1], Done: False
2024-05-05 16:20:45,116,Step: 215, Action: 2, Reward: 7.300000000000001, Observation: [32 22 13 21  2], Done: False
